순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","3층 서기실의 암호","145772851","9788965236504","03300","태영호 지음","기파랑(기파랑에크리)","20180515","20,000","18,000","1,000점","8998","사회과학"
"2","국내도서","2018 선재국어 SOS 서울시+지식형 강화 시험 현대 문학사 핵심 정리","145507429","9791161316598","13710","이선재.선재국어연구소 엮음","에스티유니타스","20180510","7,000","6,300","0점","2555","수험서/자격증"
"3","국내도서","2018 선재국어 SOS 서울시+지식형 강화 시험 최종 핵심 정리.실전 모의고사","147911432","9791161316666","13710","이선재 지음","에스티유니타스","20180525","20,000","18,000","0점","2566","수험서/자격증"
"4","국내도서","고양이 1","146610828","9788932919126","04860","베르나르 베르베르 지음, 전미연 옮김","열린책들","20180530","14,800","13,320","740점","14225","소설/시/희곡"
"5","국내도서","고양이 2","146611305","9788932919133","04860","베르나르 베르베르 지음, 전미연 옮김","열린책들","20180530","14,800","13,320","740점","12865","소설/시/희곡"
"6","국내도서","곰돌이 푸, 행복한 일은 매일 있어","135592589","9788925563350","03800","곰돌이 푸 원작","알에이치코리아(RHK)","20180312","14,800","13,320","740점","30688","에세이"
"7","국내도서","82년생 김지영","94764887","9788937473135","04810","조남주 지음","민음사","20161014","14,000","12,600","700점","94571","소설/시/희곡"
"8","국내도서","곰돌이 푸, 서두르지 않아도 괜찮아","144131255","9788925563367","03800","곰돌이 푸 원작","알에이치코리아(RHK)","20180508","14,800","13,320","740점","12916","에세이"
"9","국내도서","반딧불이","45682031","9788954624534","03830","무라카미 하루키 지음, 권남희 옮김","문학동네","20140828","14,000","12,600","700점","6213","소설/시/희곡"
"10","국내도서","노무현의 사람 사는 세상","145775769","9788996568858","03300","노무현.사람사는세상 노무현재단 지음","사람사는세상노무현재단","20180521","5,000","4,500","250점","4110","사회과학"
"11","국내도서","2018 제9회 젊은작가상 수상작품집","139321717","9788954650694","03810","박민정 외 지음","문학동네","20180404","14,000","12,600","700점","12474","소설/시/희곡"
"12","국내도서","어쿠스틱 라이프 12","147932340","9788959199631","07810","난다 글.그림","애니북스","20180608","13,500","12,150","670점","2142","만화"
"13","국내도서","아침저녁으로 읽기 위하여 (리커버 특별판)","143343771","9791156757474","03800","브레히트.아라공.마야콥스키.하이네 지음, 김남주 옮김","푸른숲","20180427","12,000","10,800","600점","3071","소설/시/희곡"
"14","국내도서","개인주의자 선언","67167561","9788954637756","03300","문유석 지음","문학동네","20150923","15,000","13,500","750점","35268","사회과학"
"15","국내도서","대통령 문재인의 1년","144131485","9791159039416","03340","더휴먼 편집부 지음","더휴먼","20180518","28,000","25,200","1,400점","2754","사회과학"
"16","국내도서","항상 앞부분만 쓰다가 그만두는 당신을 위한 어떻게든 글쓰기","135183933","9791162205778","03800","곽재식 지음","위즈덤하우스","20180509","13,800","12,420","690점","4462","인문학"
