순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
"1","국내도서","마시멜로 이야기","593297","9788947525473","7889475254","호아킴 데 포사다 외 지음, 정지영 외 옮김","한국경제신문","20051030","10,000","9,000","500점","60566","자기계발"
"2","국내도서","지도 밖으로 행군하라","582818","9788971844427","03810","한비야 지음","푸른숲","20050908","15,000","13,500","750점","49694","에세이"
"3","국내도서","나니아 연대기","592359","9788952744852","03840","클라이브 스테이플즈 루이스 지음, 폴린 베인즈 그림, 햇살과나무꾼 옮김","시공주니어","20051105","32,000","28,800","1,600점","13538","소설/시/희곡"
"4","국내도서","끌리는 사람은 1%가 다르다","596539","9788984053229","13320","이민규 지음","더난출판사","20051117","12,000","10,800","600점","36062","자기계발"
"5","국내도서","긍정의 힘","560688","9788996210429","03230","조엘 오스틴 지음, 정성묵 옮김","두란노","20050511","14,000","12,600","700점","34481","종교/역학"
"6","국내도서","배려","612023","9788989313694","03320","한상복 지음","위즈덤하우스","20060110","13,000","11,700","650점","45312","자기계발"
"7","국내도서","다 빈치 코드 2","497194","9788957590522","04840","댄 브라운 지음, 양선아 옮김","북스캔(대교북스캔)","20040705","7,800","7,020","390점","25787","소설/시/희곡"
"8","국내도서","다 빈치 코드 1","497193","9788957590515","04840","댄 브라운 지음, 양선아 옮김, 이창식 번역 감수","북스캔(대교북스캔)","20040705","7,800","7,020","390점","25516","소설/시/희곡"
"9","국내도서","설득의 심리학","376342","9788950905224","13320","로버트 치알디니 지음, 이현우 옮김","21세기북스","20020930","12,000","10,800","600점","45506","자기계발"
"10","국내도서","잃어버린 여행가방","608605","9788939205314","03810","박완서 지음","실천문학사","20051224","12,000","10,800","600점","4906","에세이"
"11","국내도서","카네기 인간관계론 (반양장)","528941","9788956370590","04320","데일 카네기 지음, 최염순 옮김","씨앗을뿌리는사람","20041125","12,000","10,800","600점","36179","자기계발"
"12","국내도서","연금술사","307361","9788982814471","03890","파울로 코엘료 지음, 최정수 옮김","문학동네","20011201","12,000","10,800","600점","83289","소설/시/희곡"
"13","국내도서","살아 있는 동안 꼭 해야 할 49가지","531914","9788989313496","03810","탄줘잉 엮음, 김명은 옮김","위즈덤하우스","20041220","8,800","7,920","440점","24579","자기계발"
"14","국내도서","해리 포터와 혼혈왕자 세트 - 전4권 (무선)","599660","9788983922007","04840","조앤 K. 롤링 지음, 최인자 옮김","문학수첩","20051122","34,000","30,600","1,700점","13097","소설/시/희곡"
"15","국내도서","해커스 토익 Reading (온라인 무료 동영상 강의 제공) (Hackers TOEIC Reading)","533971","9788990700124","","David Cho 지음","해커스어학연구소(Hackers)","20041227","18,800","16,920","940점","7532","외국어"
"16","국내도서","살아있는 세계사 교과서 1","589982","9788958620709","03900","전국역사교사모임 지음","휴머니스트","20051024","24,000","21,600","1,200점","24487","역사"
"17","국내도서","강의","528624","9788971992029","03820","신영복 지음","돌베개","20041213","18,000","16,200","900점","29153","인문학"
"18","국내도서","사랑 후에 오는 것들","606720","9788973818693","04810","공지영 지음","(주)태일소담출판사","20051220","12,000","10,800","600점","9101","소설/시/희곡"
"19","국내도서","블루 오션 전략","549294","9788970856575","93320","김위찬 외 지음, 강혜구 옮김","교보문고(단행본)","20050408","17,000","15,300","850점","15383","경제경영"
"20","국내도서","목적이 이끄는 삶 (반양장)","398903","9788938810618","03230","릭 워렌 지음","디모데","20030125","12,000","10,800","600점","24425","종교/역학"
"21","국내도서","부자의 생각 빈자의 생각","608247","9788973377213","03320","공병호 지음","해냄","20051227","12,800","11,520","640점","2435","자기계발"
"22","국내도서","선물","448034","9788957572184","03800","스펜서 존슨 지음, 형선호 옮김","랜덤하우스코리아","20031215","8,500","7,650","420점","22594","자기계발"
"23","국내도서","해커스 토익 Listening (테이프 별매) (Hackers TOEIC Listening)","528901","9788990700148","","David Cho 지음","해커스어학연구소(Hackers)","20041202","18,900","17,010","940점","4805","외국어"
"24","국내도서","블링크","595202","9788950908003","13320","말콤 글래드웰 지음, 이무열 옮김, 황상민 감수","21세기북스","20051120","13,000","11,700","650점","8067","경제경영"
"25","국내도서","현명한 부모들이 꼭 알아야 할 대화법","578507","9788959246755","23590","신의진 지음","랜덤하우스코리아","20050810","9,800","8,820","490점","11440","좋은부모"
"26","국내도서","부부로 산다는 것","588374","9788989313649","03810","최정미 외 지음","위즈덤하우스","20051007","8,800","7,920","440점","4983","요리/살림"
"27","국내도서","칭찬은 고래도 춤추게 한다","395888","9788950905507","13320","켄 블랜차드 외 지음, 조천제 옮김","21세기북스","20030114","10,000","9,000","500점","29039","경제경영"
